Số thứ tự (No.),Mã Epic (Epic ID),Tên Epic (Epic Name),Mã User Story (Story ID),Tên User Story (Story Title),User Story,Vai trò (Role),Giá trị nghiệp vụ (Business Value),Mô tả chi tiết (Description),Điều kiện bắt đầu (Precondition),Kết quả sau hoàn thành (Postcondition),Quy tắc liên quan (Business Rule),Độ ưu tiên (Priority),Story Point,Phụ thuộc vào (Dependency),Người phụ trách đề xuất (Assignee),Trạng thái (Status),Ghi chú (Notes)
11,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-003,Gán phòng trên lịch chống trùng,"Là Lễ tân, tôi muốn gán phòng cụ thể cho đặt phòng trên lịch, để giữ phòng và tránh nhận trùng.",Lễ tân,Chốt phòng cụ thể và khóa chỗ.,"Lễ tân kéo hoặc chọn phòng trống trên lịch để gán cho đặt phòng, hệ thống kiểm tra không gối thời gian.",Đã có đặt phòng mới tạo.,Đặt phòng được gán phòng và chuyển sang đã xác nhận.,QTN-01,Bắt buộc,,"NCL-03-CN-002, NCL-03-CN-001",Thành viên hai,Chưa thực hiện,
12,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-004,Xử lý xung đột đặt phòng đồng thời,"Là Lễ tân, tôi muốn hệ thống ngăn hai người gán cùng một phòng cùng lúc, để không phát sinh trùng phòng.",Lễ tân,Bảo đảm tính nhất quán khi nhiều người thao tác.,"Khi hai lễ tân cùng gán một phòng cho khoảng thời gian gối nhau, hệ thống chỉ chấp nhận thao tác đầu và từ chối thao tác sau.",Có ít nhất hai người thao tác đồng thời.,"Chỉ một đặt phòng được giữ phòng, người còn lại nhận cảnh báo.",QTN-01,Bắt buộc,,NCL-03-CN-003,Thành viên ba,Chưa thực hiện,
13,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-005,Hủy đặt phòng,"Là Lễ tân, tôi muốn hủy đặt phòng theo chính sách, để giải phóng phòng khi khách không còn nhu cầu.",Lễ tân,Giải phóng phòng và giữ đúng chính sách hủy.,"Lễ tân hủy một đặt phòng chưa nhận phòng, hệ thống áp dụng chính sách hủy và giải phóng phòng.",Đặt phòng ở trạng thái mới tạo hoặc đã xác nhận.,Đặt phòng chuyển sang đã hủy và phòng được giải phóng.,QTN-06,Quan trọng,,NCL-03-CN-003,Thành viên một,Chưa thực hiện,
14,NCL-03,Lịch phòng và đặt phòng chống trùng,NCL-03-CN-006,Đổi phòng cho khách,"Là Lễ tân, tôi muốn đổi phòng cho khách sang phòng khác còn trống, để xử lý yêu cầu hoặc sự cố phòng.",Lễ tân,Xử lý linh hoạt khi khách cần đổi phòng.,"Lễ tân chuyển đặt phòng sang phòng khác còn trống cùng thời gian, hệ thống tính lại giá nếu khác loại phòng.",Đặt phòng đang giữ phòng hoặc đang lưu trú.,Đặt phòng gắn phòng mới và giá được tính lại.,QTN-08,Quan trọng,,NCL-03-CN-003,Thành viên một,Chưa thực hiện,
15,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-001,Nhận phòng,"Là Lễ tân, tôi muốn làm thủ tục nhận phòng cho khách, để bắt đầu thời gian lưu trú và mở phòng cho khách.",Lễ tân,Bắt đầu lưu trú nhanh và đúng phòng.,"Lễ tân xác nhận khách đến, kiểm tra đặt phòng và chuyển đặt phòng sang đã nhận phòng.",Đặt phòng ở trạng thái đã xác nhận và đúng ngày nhận.,Khách nhận phòng và phòng chuyển sang đang có khách.,QTN-02,Bắt buộc,,NCL-03-CN-003,Thành viên một,Chưa thực hiện,
16,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-002,Trả phòng,"Là Lễ tân, tôi muốn làm thủ tục trả phòng cho khách, để kết thúc lưu trú và chuyển phòng sang cần dọn.",Lễ tân,Kết thúc lưu trú gọn gàng và đưa phòng vào chu trình dọn.,"Lễ tân chốt dịch vụ phụ thu, xác nhận thanh toán rồi chuyển đặt phòng sang đã trả phòng.",Đặt phòng ở trạng thái đã nhận phòng.,"Khách trả phòng, phòng chuyển sang cần dọn.",QTN-05,Bắt buộc,,NCL-04-CN-001,Thành viên một,Chưa thực hiện,
17,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-003,Đánh dấu khách không đến,"Là Lễ tân, tôi muốn đánh dấu khách không đến sau giờ giữ phòng, để giải phóng phòng cho khách khác.",Lễ tân,Giảm thất thu khi khách không đến.,"Khi hết giờ giữ phòng mà khách chưa đến, lễ tân đánh dấu không đến và hệ thống giải phóng phòng.",Đặt phòng đã xác nhận nhưng quá giờ giữ phòng.,Đặt phòng chuyển sang khách không đến và phòng được giải phóng.,QTN-07,Quan trọng,,NCL-03-CN-003,Thành viên một,Chưa thực hiện,
18,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-004,Quản lý khách và lịch sử lưu trú,"Là Lễ tân, tôi muốn tra cứu thông tin khách và lịch sử lưu trú, để phục vụ khách quen tốt hơn.",Lễ tân,Nắm lịch sử khách để chăm sóc phù hợp.,Lễ tân tìm khách theo tên hoặc số điện thoại và xem các lần lưu trú trước.,Đã có dữ liệu khách và đặt phòng.,Lễ tân xem được hồ sơ khách và lịch sử lưu trú.,QTN-10,Quan trọng,,NCL-03-CN-002,Thành viên hai,Chưa thực hiện,
19,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-005,Quản lý khách hàng thân thiết,"Là Chủ cơ sở, tôi muốn quản lý khách hàng thân thiết và điểm tích lũy, để giữ chân khách quay lại.",Chủ cơ sở,Khuyến khích khách quay lại nhờ ưu đãi theo mức thân thiết.,Chủ cơ sở cấu hình mức thân thiết theo điểm tích lũy và xem danh sách khách theo từng mức.,Đã có dữ liệu khách và lịch sử lưu trú.,Khách được xếp mức thân thiết theo điểm tích lũy.,QTN-15,Nên có,,NCL-04-CN-004,Thành viên một,Chưa thực hiện,
20,NCL-04,Nhận phòng và trả phòng,NCL-04-CN-006,Tra cứu hạng khách thân thiết khi phục vụ,"Là Lễ tân, tôi muốn tra cứu hạng khách thân thiết khi nhận phòng, để áp ưu đãi phù hợp cho khách quen.",Lễ tân,Phục vụ khách quen chu đáo và áp đúng ưu đãi.,Lễ tân tìm khách theo tên hoặc số điện thoại và xem hạng thân thiết cùng ưu đãi kèm theo.,Đã có mức thân thiết của khách.,Lễ tân thấy hạng và ưu đãi của khách khi phục vụ.,QTN-15,Nên có,,NCL-04-CN-005,Thành viên hai,Chưa thực hiện,
21,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-001,Ghi nhận dịch vụ phụ thu,"Là Lễ tân, tôi muốn ghi nhận dịch vụ phụ thu khách sử dụng, để cộng vào hóa đơn khi trả phòng.",Lễ tân,Không bỏ sót doanh thu dịch vụ.,Lễ tân chọn dịch vụ từ danh mục và gắn vào đặt phòng đang lưu trú kèm số lượng.,Đặt phòng ở trạng thái đã nhận phòng.,Dịch vụ phụ thu được ghi nhận vào đặt phòng.,QTN-12,Bắt buộc,,"NCL-04-CN-001, NCL-02-CN-004",Thành viên hai,Chưa thực hiện,
22,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-002,Lập hóa đơn lưu trú,"Là Lễ tân, tôi muốn lập hóa đơn khi khách trả phòng, để tổng hợp tiền phòng và dịch vụ phụ thu.",Lễ tân,Xuất hóa đơn chính xác và minh bạch.,Hệ thống tổng hợp tiền phòng theo số đêm và giá cùng dịch vụ phụ thu trừ giảm giá để tạo hóa đơn.,Đặt phòng đang lưu trú và đã chốt phụ thu.,Hóa đơn được tạo với tổng tiền chính xác.,QTN-12,Bắt buộc,,NCL-05-CN-001,Thành viên ba,Chưa thực hiện,
23,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-003,Ghi nhận thanh toán,"Là Kế toán, tôi muốn ghi nhận thanh toán cho hóa đơn, để xác nhận khách đã trả đủ tiền.",Kế toán,Bảo đảm dòng tiền được ghi nhận đầy đủ.,Kế toán hoặc lễ tân ghi nhận số tiền khách trả theo tiền mặt hoặc chuyển khoản cho tới khi đủ.,Hóa đơn ở trạng thái chờ thanh toán.,Hóa đơn chuyển sang đã thanh toán khi thu đủ.,QTN-11,Bắt buộc,,NCL-05-CN-002,Thành viên ba,Chưa thực hiện,
24,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-004,Lập hóa đơn điều chỉnh,"Là Kế toán, tôi muốn lập hóa đơn điều chỉnh khi phát hiện sai sót, để sửa số liệu mà vẫn giữ vết hóa đơn gốc.",Kế toán,Sửa sai minh bạch và giữ vết dữ liệu.,"Kế toán tạo hóa đơn điều chỉnh tham chiếu hóa đơn gốc đã thanh toán, nêu lý do và số tiền điều chỉnh.",Hóa đơn gốc đã thanh toán.,Hóa đơn điều chỉnh được tạo và liên kết hóa đơn gốc.,QTN-11,Quan trọng,,NCL-05-CN-003,Thành viên ba,Chưa thực hiện,
25,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-005,Quản lý kho đồ dùng,"Là Chủ cơ sở, tôi muốn quản lý kho đồ dùng phục vụ dịch vụ phụ thu, để biết tồn kho và bổ sung kịp thời.",Chủ cơ sở,Tránh thiếu hụt đồ dùng khi phục vụ khách.,"Chủ cơ sở khai báo đồ dùng, số lượng tồn và ngưỡng cảnh báo tồn thấp.",Đã có danh mục dịch vụ phụ thu.,Kho đồ dùng được khai báo và cảnh báo khi tồn thấp.,QTN-16,Nên có,,NCL-02-CN-004,Thành viên một,Chưa thực hiện,
26,NCL-05,Dịch vụ phụ thu hóa đơn và thanh toán,NCL-05-CN-006,Trừ kho khi ghi dịch vụ phụ thu,"Là Lễ tân, tôi muốn hệ thống tự trừ kho đồ dùng khi ghi dịch vụ phụ thu, để tồn kho luôn khớp thực tế sử dụng.",Lễ tân,Giữ tồn kho chính xác theo thực tế phục vụ.,"Khi lễ tân ghi dịch vụ phụ thu có dùng đồ dùng, hệ thống trừ tồn kho tương ứng.",Đã có kho đồ dùng và dịch vụ phụ thu.,Tồn kho giảm đúng theo số lượng dịch vụ đã ghi.,QTN-16,Có thể phát triển sau,,"NCL-05-CN-005, NCL-05-CN-001",Thành viên ba,Chưa thực hiện,
27,NCL-06,Quản lý dọn phòng,NCL-06-CN-001,Xem danh sách phòng cần dọn,"Là Nhân viên buồng phòng, tôi muốn xem danh sách phòng cần dọn, để biết phòng nào phải dọn trước.",Nhân viên buồng phòng,Sắp xếp công việc dọn phòng hợp lý.,Nhân viên buồng phòng xem danh sách phòng đang ở trạng thái cần dọn theo thứ tự ưu tiên.,Có phòng ở trạng thái cần dọn.,Nhân viên buồng phòng thấy danh sách phòng cần dọn.,QTN-05,Quan trọng,,NCL-04-CN-002,Thành viên hai,Chưa thực hiện,
28,NCL-06,Quản lý dọn phòng,NCL-06-CN-002,Cập nhật trạng thái dọn phòng,"Là Nhân viên buồng phòng, tôi muốn cập nhật phòng thành sẵn sàng sau khi dọn, để lễ tân nhận khách mới.",Nhân viên buồng phòng,Đưa phòng trở lại vòng phục vụ nhanh.,Nhân viên buồng phòng đánh dấu phòng đã dọn xong và hệ thống chuyển phòng sang sẵn sàng.,Phòng ở trạng thái cần dọn.,Phòng chuyển sang sẵn sàng để nhận khách.,QTN-05,Quan trọng,,NCL-06-CN-001,Thành viên ba,Chưa thực hiện,
29,NCL-06,Quản lý dọn phòng,NCL-06-CN-003,Khóa phòng bảo trì,"Là Chủ cơ sở, tôi muốn khóa phòng để bảo trì, để phòng đó không nhận đặt trong thời gian sửa chữa.",Chủ cơ sở,Tránh nhận khách vào phòng đang hỏng.,Chủ cơ sở đặt phòng vào trạng thái bảo trì trong một khoảng thời gian và mở lại khi xong.,Phòng đang sẵn sàng.,Phòng chuyển sang bảo trì và không nhận đặt.,QTN-01,Nên có,,NCL-02-CN-002,Thành viên một,Chưa thực hiện,
30,NCL-07,Báo cáo công suất và doanh thu,NCL-07-CN-001,Báo cáo công suất phòng,"Là Chủ cơ sở, tôi muốn xem báo cáo công suất phòng, để biết mức lấp đầy theo thời gian.",Chủ cơ sở,Đánh giá hiệu quả khai thác phòng.,Hệ thống tính tỷ lệ phòng có khách trên tổng phòng theo ngày và theo khoảng thời gian.,Có dữ liệu đặt phòng và phòng.,Chủ cơ sở xem được công suất theo thời gian.,QTN-10,Bắt buộc,,NCL-04-CN-001,Thành viên hai,Chưa thực hiện,
31,NCL-07,Báo cáo công suất và doanh thu,NCL-07-CN-002,Báo cáo doanh thu,"Là Chủ cơ sở, tôi muốn xem báo cáo doanh thu, để biết tiền phòng và dịch vụ mang lại theo thời gian.",Chủ cơ sở,Ra quyết định giá và vận hành theo doanh thu.,"Hệ thống tổng hợp doanh thu tiền phòng và dịch vụ phụ thu theo ngày, loại phòng và khoảng thời gian.",Có dữ liệu hóa đơn.,Chủ cơ sở xem được doanh thu theo thời gian và loại phòng.,QTN-10,Bắt buộc,,NCL-05-CN-002,Thành viên hai,Chưa thực hiện,
32,NCL-07,Báo cáo công suất và doanh thu,NCL-07-CN-003,Xuất báo cáo,"Là Kế toán, tôi muốn xuất báo cáo ra tệp, để lưu trữ và chia sẻ với chủ cơ sở.",Kế toán,Lưu và chia sẻ số liệu ngoài hệ thống.,Kế toán chọn báo cáo và khoảng thời gian rồi xuất ra tệp để tải về.,Có báo cáo công suất hoặc doanh thu.,Tệp báo cáo được tạo và tải về.,QTN-10,Nên có,,NCL-07-CN-002,Thành viên ba,Chưa thực hiện,
33,NCL-07,Báo cáo công suất và doanh thu,NCL-07-CN-004,Bảng điều khiển doanh thu nâng cao,"Là Chủ cơ sở, tôi muốn xem bảng điều khiển doanh thu trực quan theo nhiều chiều, để nắm nhanh tình hình kinh doanh.",Chủ cơ sở,Nhìn nhanh doanh thu theo thời gian và loại phòng để ra quyết định.,"Chủ cơ sở xem biểu đồ doanh thu theo thời gian, theo loại phòng và các chỉ số chính trên một màn hình.",Đã có báo cáo doanh thu cơ bản.,Chủ cơ sở thấy bảng điều khiển doanh thu khớp dữ liệu hóa đơn.,QTN-10,Nên có,,NCL-07-CN-002,Thành viên hai,Chưa thực hiện,
34,NCL-07,Báo cáo công suất và doanh thu,NCL-07-CN-005,Dự báo công suất theo mùa,"Là Chủ cơ sở, tôi muốn xem dự báo công suất phòng theo mùa dựa trên dữ liệu quá khứ, để chuẩn bị nhân sự và giá phù hợp.",Chủ cơ sở,Chủ động chuẩn bị cho mùa cao điểm và thấp điểm.,Hệ thống ước tính công suất phòng sắp tới theo mùa dựa trên công suất các kỳ trước.,Đã có báo cáo công suất phòng.,Chủ cơ sở thấy dự báo công suất theo mùa kèm ghi chú giả định.,QTN-10,Có thể phát triển sau,,NCL-07-CN-001,Thành viên ba,Chưa thực hiện,
35,NCL-08,Thông báo và lịch sử hoạt động,NCL-08-CN-001,Nhắc nhận phòng và trả phòng,"Là Lễ tân, tôi muốn nhận nhắc các đặt phòng sắp nhận và sắp trả, để chuẩn bị phục vụ đúng lúc.",Lễ tân,Không bỏ sót mốc nhận phòng và trả phòng.,Hệ thống hiển thị và gửi nhắc các đặt phòng có ngày nhận hoặc ngày trả trong ngày.,Có đặt phòng với ngày nhận hoặc trả trong ngày.,Lễ tân nhận được nhắc các mốc lưu trú trong ngày.,QTN-10,Quan trọng,,NCL-03-CN-003,Thành viên hai,Chưa thực hiện,
36,NCL-08,Thông báo và lịch sử hoạt động,NCL-08-CN-002,Xem lịch sử hoạt động,"Là Quản trị viên, tôi muốn xem lịch sử hoạt động, để truy vết các thay đổi quan trọng.",Quản trị viên,Tăng khả năng truy vết và kiểm soát.,"Quản trị viên xem nhật ký các thao tác thay đổi trạng thái đặt phòng, phòng và hóa đơn.",Đã có nhật ký hoạt động.,Quản trị viên tra cứu được lịch sử thao tác.,QTN-10,Quan trọng,,NCL-01-CN-003,Thành viên ba,Chưa thực hiện,
37,NCL-08,Thông báo và lịch sử hoạt động,NCL-08-CN-003,Thông báo nội bộ phòng cần dọn,"Là Nhân viên buồng phòng, tôi muốn nhận thông báo khi có phòng mới cần dọn, để xử lý kịp thời.",Nhân viên buồng phòng,Rút ngắn thời gian phòng chờ dọn.,"Khi một phòng chuyển sang cần dọn, hệ thống gửi thông báo nội bộ cho nhân viên buồng phòng.",Có phòng vừa chuyển sang cần dọn.,Nhân viên buồng phòng nhận được thông báo phòng cần dọn.,QTN-05,Có thể phát triển sau,,NCL-06-CN-002,Thành viên hai,Chưa thực hiện,
38,NCL-08,Thông báo và lịch sử hoạt động,NCL-08-CN-004,Mô phỏng nhận đặt phòng từ kênh,"Là Lễ tân, tôi muốn nạp đặt phòng mô phỏng từ kênh bên ngoài, để thử nghiệm luồng hợp nhất nhiều kênh.",Lễ tân,Kiểm chứng khả năng hợp nhất đặt phòng đa kênh.,Hệ thống nạp một tệp đặt phòng mô phỏng từ kênh bên ngoài và đưa vào lịch phòng chung để chống trùng.,Có tệp đặt phòng mô phỏng.,Đặt phòng từ kênh được đưa vào lịch chung và kiểm tra trùng.,QTN-01,Có thể phát triển sau,,NCL-03-CN-003,Thành viên ba,Chưa thực hiện,
39,NCL-08,Thông báo và lịch sử hoạt động,NCL-08-CN-005,Trải nghiệm lễ tân trên thiết bị di động,"Là Lễ tân, tôi muốn thao tác nhận phòng và trả phòng trên điện thoại, để phục vụ khách linh hoạt ngoài quầy.",Lễ tân,Phục vụ khách nhanh ngay cả khi rời quầy lễ tân.,"Lễ tân dùng giao diện di động gọn để xem lịch phòng, nhận phòng và trả phòng.",Đã có chức năng nhận phòng và trả phòng.,Lễ tân thao tác được các bước chính trên thiết bị di động.,QTN-09,Nên có,,"NCL-04-CN-001, NCL-04-CN-002",Thành viên hai,Chưa thực hiện,
40,NCL-09,Cổng đặt phòng trực tiếp cho khách,NCL-09-CN-001,Khách xem phòng trống,"Là Khách lưu trú, tôi muốn xem các phòng còn trống theo ngày và giá, để chọn phòng phù hợp trước khi đặt.",Khách lưu trú,Giúp khách tự tìm phòng trống mà không cần gọi điện.,Khách chọn khoảng thời gian và xem danh sách phòng còn trống kèm giá theo mùa.,Cơ sở đã khai báo phòng và giá.,Khách thấy danh sách phòng trống đúng theo ngày đã chọn.,QTN-01,Nên có,,"NCL-02-CN-002, NCL-02-CN-003",Thành viên hai,Chưa thực hiện,
41,NCL-09,Cổng đặt phòng trực tiếp cho khách,NCL-09-CN-002,Khách gửi yêu cầu đặt phòng,"Là Khách lưu trú, tôi muốn gửi yêu cầu đặt phòng trực tuyến, để giữ chỗ trước khi liên hệ trực tiếp.",Khách lưu trú,Giúp khách gửi yêu cầu đặt phòng mọi lúc mà không cần gọi điện.,"Khách chọn phòng trống, nhập thông tin liên hệ và gửi yêu cầu đặt phòng chờ lễ tân duyệt.",Khách đã xem được phòng trống.,Yêu cầu đặt phòng được ghi nhận ở trạng thái chờ duyệt.,QTN-13,Nên có,,NCL-09-CN-001,Thành viên hai,Chưa thực hiện,
42,NCL-09,Cổng đặt phòng trực tiếp cho khách,NCL-09-CN-003,Lễ tân duyệt yêu cầu đặt phòng,"Là Lễ tân, tôi muốn duyệt hoặc từ chối yêu cầu đặt phòng từ cổng, để chuyển yêu cầu hợp lệ thành đặt phòng chính thức.",Lễ tân,Kiểm soát chất lượng yêu cầu và tránh nhận trùng phòng.,"Lễ tân xem danh sách yêu cầu chờ duyệt, kiểm tra phòng trống rồi duyệt thành đặt phòng hoặc từ chối kèm lý do.",Có yêu cầu đặt phòng ở trạng thái chờ duyệt.,Yêu cầu được duyệt thành đặt phòng hoặc bị từ chối và khách được thông báo.,QTN-13,Quan trọng,,"NCL-09-CN-002, NCL-03-CN-002",Thành viên ba,Chưa thực hiện,
43,NCL-09,Cổng đặt phòng trực tiếp cho khách,NCL-09-CN-004,Khách đánh giá sau lưu trú,"Là Khách lưu trú, tôi muốn gửi đánh giá sau khi trả phòng, để chia sẻ trải nghiệm và giúp cơ sở cải thiện.",Khách lưu trú,Thu thập phản hồi thật từ khách đã lưu trú.,Khách đã trả phòng chấm điểm và viết nhận xét về lần lưu trú của mình.,Khách đã hoàn tất trả phòng.,Đánh giá của khách được ghi nhận và gắn với lần lưu trú.,QTN-14,Có thể phát triển sau,,NCL-04-CN-002,Thành viên hai,Chưa thực hiện,
44,NCL-09,Cổng đặt phòng trực tiếp cho khách,NCL-09-CN-005,Chủ cơ sở phản hồi đánh giá,"Là Chủ cơ sở, tôi muốn phản hồi đánh giá của khách, để thể hiện sự cầu thị và cải thiện hình ảnh cơ sở.",Chủ cơ sở,Tăng niềm tin của khách qua phản hồi công khai.,Chủ cơ sở đọc đánh giá và viết phản hồi gắn với từng đánh giá của khách.,Đã có đánh giá của khách.,Phản hồi được lưu và hiển thị kèm đánh giá.,QTN-14,Có thể phát triển sau,,NCL-09-CN-004,Thành viên hai,Chưa thực hiện,
45,NCL-10,Quản trị hệ thống và cấu hình cơ sở,NCL-10-CN-001,Cấu hình thông tin cơ sở,"Là Quản trị viên, tôi muốn khai báo thông tin cơ sở lưu trú, để các màn hình và hóa đơn hiển thị đúng nhận diện của cơ sở.",Quản trị viên,Chuẩn hóa nhận diện cơ sở trên toàn hệ thống.,"Quản trị viên nhập tên cơ sở, địa chỉ, thông tin liên hệ, giờ nhận phòng và giờ trả phòng mặc định.",Quản trị viên đã đăng nhập.,Thông tin cơ sở được lưu và áp dụng cho toàn hệ thống.,QTN-09,Quan trọng,,NCL-01-CN-001,Thành viên một,Chưa thực hiện,
